item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10040050001,35.0,26.0,31.0,6
10040056001,36.0,28.0,31.0,6
10040058001,42.0,28.0,24.0,5
10040059001,36.0,30.0,25.0,7
10040062001,37.0,27.0,30.0,6
10040063001,40.0,27.0,23.0,5
10040066001,37.0,30.0,25.0,7
10040067001,34.0,26.0,31.0,6
10040069001,42.0,28.0,25.0,5
10040071001,40.0,32.0,25.0,5
10040072001,42.0,28.0,23.0,5
10040078001,37.0,30.0,25.0,7
10040079001,35.0,17.0,32.0,10
10040080001,36.0,30.0,21.0,8
10040081001,36.0,27.0,30.0,6
10040082001,36.0,28.0,31.0,6
10040085001,40.0,27.0,24.0,5
10040089001,35.0,29.0,20.0,9
10040094001,37.0,18.0,36.0,10
10040111001,37.0,27.0,31.0,6
10040113001,40.0,26.0,21.0,6
10040184001,41.0,28.0,23.0,5
10041001001,33.0,25.0,30.0,7
10041002001,42.0,28.0,19.0,7
10041003001,36.0,27.0,26.0,8
10041004001,43.0,28.0,22.0,6
10041005001,25.0,17.0,34.0,13
10041006001,40.0,26.0,22.0,6
10041007001,42.0,29.0,24.0,5
10041008001,40.0,27.0,25.0,5
10041009001,35.0,23.0,18.0,15
10041013001,28.0,28.0,30.0,8
10041014001,43.0,29.0,24.0,5
10041016001,37.0,30.0,24.0,7
10041018001,43.0,29.0,19.0,7
10041020001,34.0,25.0,29.0,7
10041024001,37.0,30.0,24.0,7
10041032001,42.0,25.0,24.0,5
10041033001,42.0,25.0,24.0,5
10041034001,43.0,29.0,24.0,5
10041036001,42.0,28.0,25.0,5
10041038001,43.0,29.0,24.0,5
10041039001,42.0,28.0,24.0,5
10041040001,42.0,28.0,24.0,5
10041041001,41.0,27.0,13.0,10
10041043001,41.0,27.0,13.0,10
10041045001,41.0,27.0,12.0,11
10041050001,38.0,27.0,33.0,6
10041052001,42.0,28.0,24.0,5
10041055001,28.0,17.0,32.0,13
10041057001,43.0,30.0,20.0,6
10041058001,41.0,28.0,23.0,5
10041066001,42.0,28.0,23.0,5
10041067001,42.0,28.0,25.0,5
10041069001,37.0,27.0,30.0,6
10041076001,41.0,28.0,13.0,10
10041077001,36.0,23.0,15.0,18
10041085001,43.0,29.0,23.0,5
10041087001,42.0,28.0,23.0,5
10041135001,40.0,25.0,24.0,5
10041899001,26.0,17.0,31.0,13
10051001001,25.0,19.0,20.0,21
10051034001,38.0,30.0,26.0,6
10052002001,31.0,24.0,27.0,9
10052004001,32.0,25.0,27.0,9
10052009001,32.0,25.0,27.0,9
10052011001,30.0,23.0,29.0,7
10052014001,31.0,24.0,27.0,9
10052015001,31.0,24.0,27.0,9
10052017001,30.0,23.0,29.0,7
10052019001,32.0,25.0,27.0,9
10052020001,32.0,25.0,27.0,9
10052023001,32.0,24.0,26.0,9
10052024001,32.0,24.0,26.0,9
10052025001,32.0,25.0,27.0,9
10052033001,31.0,24.0,28.0,9
10052035001,30.0,24.0,29.0,7
10052046001,26.0,20.0,26.0,15
10052047001,26.0,20.0,26.0,15
10053901001,42.0,26.0,19.0,7
10053902001,42.0,26.0,19.0,7
10053903001,42.0,26.0,19.0,7
10053904001,42.0,26.0,19.0,7
10053909001,41.0,27.0,20.0,6
10100027001,41.0,27.0,13.0,10
10100116001,41.0,27.0,12.0,11
10100132001,40.0,28.0,12.0,11
10100222001,41.0,28.0,13.0,10
10102898001,41.0,27.0,12.0,11
10303001001,40.0,27.0,12.0,11
10303002001,40.0,27.0,12.0,11
10303003001,40.0,27.0,12.0,11
10904003001,29.0,23.0,32.0,7
10904005001,47.0,31.0,16.0,8
